date,ticker,name,market,close,eps_2026_like,eps_nexty,per_2026_like,per_headline_forward,eps_source,eps_fetched_at,data_source
2026-04-27,000660,SK hynix,KR,1292000.0,276486.0,,4.672930998314562,4.672930998314562,naver,2026-04-27T16:14:13,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-28,000660,SK hynix,KR,1300000.0,279612.0,,4.649299743930876,4.649299743930876,naver,2026-04-28T16:16:33,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-29,000660,SK hynix,KR,1293000.0,279612.0,,4.624265053002017,4.624265053002017,naver,2026-04-28T16:16:33,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-30,000660,SK hynix,KR,1286000.0,279612.0,,4.5992303620731585,4.5992303620731585,naver,2026-04-28T16:16:33,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-04,000660,SK hynix,KR,1447000.0,285474.0,,5.068762829539643,5.068762829539643,naver,2026-05-04T16:15:25,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-06,000660,SK hynix,KR,1601000.0,286170.0,,5.594576650242862,5.594576650242862,naver,2026-05-06T16:17:42,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-07,000660,SK hynix,KR,1654000.0,286170.0,,5.779781248907992,5.779781248907992,naver,2026-05-07T16:19:47,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-08,000660,SK hynix,KR,1686000.0,287185.0,,5.870780159130874,5.870780159130874,naver,2026-05-10T21:57:56,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-11,000660,SK hynix,KR,1880000.0,287185.0,,6.546302905792434,6.546302905792434,naver,2026-05-11T16:24:24,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-12,000660,SK hynix,KR,1835000.0,290404.0,,6.318783487830746,6.318783487830746,naver,2026-05-12T16:24:26,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-13,000660,SK hynix,KR,1976000.0,290980.0,,6.790844731596673,6.790844731596673,naver,2026-05-13T16:24:24,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-14,000660,SK hynix,KR,1970000.0,291777.0,,6.751731630663143,6.751731630663143,naver,2026-05-14T16:24:24,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-15,000660,SK hynix,KR,1819000.0,291777.0,,6.2342131148102835,6.2342131148102835,naver,2026-05-15T16:24:26,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-18,000660,SK hynix,KR,1840000.0,292970.0,,6.280506536505444,6.280506536505444,naver,2026-05-18T16:24:25,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-19,000660,SK hynix,KR,1745000.0,295485.0,,5.905545120733709,5.905545120733709,naver,2026-05-19T16:24:27,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
